Lake_name,modalDwLehmann,Cluster,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
-11.051573,569,2,Zambia,Africa,SWBD,1,0,163.5,106.06,2.3399999,1064.28,0,3,6.5,27.141,453.9,1162,1.1900001,2095.4,29.727091,-11.051573
-14.234235,572,2,Zambia,Africa,SWBD,2,4049,58.77,173.61,6.3899999,1516.7,1516.7,2,25.7999992,64.845,270.7,1112,1.67,7559.3,29.117373,-14.234235
-15.744998,578,3,Zambia,Africa,SWBD,1,0,90.29,118.6,3.52,90.29,0,3,1,488.023,2.1,978,0.24,128272.3,27.281381,-15.744998
-3.872917,579,3,United Republic of Tanzania,Africa,SWBD,1,0,50.06,34.56,1.38,97.62,0,3,2,5.964,189.4,974,0.62,6278.7,35.88125,-3.872917
-5.000783,574,2,United Republic of Tanzania,Africa,SWBD,1,0,83.41,147.42,4.5500002,114.2,0,3,1.4,229.875,5.7,1058,0.41,65855.9,30.961988,-5.000783
-5.277098,578,3,United Republic of Tanzania,Africa,SWBD,1,0,308.17,182.98,2.9400001,1109.91,0,3,3.5999999,113.633,113,1058,0.61,52092.1,30.962019,-5.277098
-7.136711,581,4,United Republic of Tanzania,Africa,SWBD,2,4501,443.68,221.14,2.96,3200,3200,2,7.1999998,103.314,358.5,698,1.3099999,69839.8,35.984917,-7.136711
-8.514583,570,2,Democratic Republic of the Congo,Africa,SWBD,1,0,58.43,65.67,2.4200001,89.17,0,3,1.5,0.576,1791.7,564,0.48,155.2,26.31875,-8.514583
-9.644968,570,2,Zambia,Africa,SWBD,1,0,67.84,64.71,2.22,124.73,0,3,1.8,0.566,2550.6,923,0.55,237.6,28.664896,-9.644968
0.315825,576,3,Uganda,Africa,SWBD,1,0,80.67,111.73,3.51,307.05,0,3,3.8,13.93,255.1,1162,0.99,1784.2,31.841516,0.315825
1.306458,576,3,Uganda,Africa,SWBD,1,0,91.93,175.24,5.1599998,141.34,0,3,1.5,56.74,28.8,1034,0.44,26795.1,33.474457,1.306458
11.516058,577,3,Ethiopia,Africa,SWBD,1,0,53.21,89.22,3.45,355.19,0,3,6.6999998,136.075,30.2,338,1.77,66601.7,41.646875,11.516058
11.664583,577,3,Djibouti,Africa,SWBD,1,0,64.4,39.81,1.4,694.64,0,3,10.8000002,0,-1,-154,2.5799999,2877.1,42.410417,11.664583
14.027083,579,3,Ethiopia,Africa,SWBD,1,0,71.78,56.5,1.88,326.88,0,3,4.5999999,95.831,39.5,-123,1.1900001,18913.8,40.40625,14.027083
14.925127,580,3,Sudan,Africa,SWBD,2,4481,100.27,230.36,6.4899998,1300,1300,2,13,369.483,40.7,472,0.78,100616.1,35.907292,14.925127
15.31875,583,4,Eritrea,Africa,SWBD,1,0,56.61,50.19,1.88,189.24,0,3,3.3,1.082,2024.3,1,0.96,449.4,39.919973,15.31875
7.762864,577,3,South Sudan,Africa,SWBD,1,0,65.6,181.41,6.3200002,68.77,0,3,1,2.351,338.5,403,0.34,2533.6,30.562339,7.762864
Abaya,584,4,Ethiopia,Africa,SWBD,1,0,1084.75,337.4,2.8900001,8000,0,1,7.4000001,89.702,1032.2,1176,-1,16336,37.864583,6.297917
Abayata,578,3,Ethiopia,Africa,SWBD,1,0,164.71,56.12,1.23,586.94,0,3,3.5999999,75.283,90.2,1579,0.7,10422.9,38.60625,7.614583
Abhe Bid,579,3,Ethiopia,Africa,SWBD,1,0,311.84,102,1.63,4916.18,0,3,15.8000002,285.762,199.1,240,2.21,94540.7,41.78125,11.15625
Afrera ye'ch'ew,574,2,Ethiopia,Africa,SWBD,1,0,123.6,78.44,1.99,1626.73,0,3,13.1999998,58.714,320.7,-112,2.3399999,7153.6,40.902083,13.277083
Albert,565,2,Uganda,Africa,SWBD,1,0,5526.92,781.9,2.97,138170.5,0,1,25,2170.649,736.7,615,-1,416660.7,31.410473,2.761442
Awasa,576,3,Ethiopia,Africa,SWBD,1,0,86.8,52.81,1.6,442.01,0,3,5.0999999,9.926,515.4,1684,1.26,1457.6,38.44375,7.060417
Bangweulu,569,2,Zambia,Africa,SWBD,1,0,1763.53,513.01,3.45,1764,0,1,1,172.176,118.6,1163,-1,16608.3,29.8145,-11.430955
Baringo,578,3,Kenya,Africa,SWBD,1,0,125.43,95.95,2.4200001,1824.34,0,3,14.5,53.565,394.2,968,2.55,6604.4,36.08125,0.585417
Bisina,568,2,Uganda,Africa,SWBD,1,0,153.41,125.1,2.8499999,324.4,0,3,2.0999999,27.287,137.6,1043,0.45,10082.1,33.835529,1.68121
Burigi,576,3,United Republic of Tanzania,Africa,SWBD,1,0,188.53,229.09,4.71,2373.25,0,3,12.6000004,18.586,1477.9,1172,2.04,5299.5,31.190597,-1.857657
Cahora Bassa Reservoir,578,3,Mozambique,Africa,SWBD,2,4505,2048.68,2176.09,13.5600004,63000,63000,2,30.7999992,2652.541,274.9,317,-1,1068237,32.704318,-15.586301
Ch'Amo,579,3,Ethiopia,Africa,SWBD,1,0,312.04,107.42,1.72,8405.41,0,3,26.8999996,18.417,5282.3,1109,3.52,1940.6,37.577083,5.835417
Chilwa,578,3,Malawi,Africa,SWBD,1,0,1088.14,417.56,3.5699999,2176.28,0,1,2,114.021,220.9,623,-1,8783.6,35.714583,-15.297917
Chiuta,576,3,Mozambique,Africa,SWBD,1,0,143.85,182.04,4.2800002,560.75,0,3,3.9000001,48.592,133.6,628,0.78,4341.1,35.934375,-14.349293
Edward,569,2,Democratic Republic of the Congo,Africa,SWBD,1,0,2241.98,307.35,1.83,76700,0,1,34.2000008,194.543,4563.2,912,-1,26839,29.602017,-0.140928
Eyasi,583,4,United Republic of Tanzania,Africa,SWBD,1,0,1200.3,264.35,2.1500001,600.15,0,1,0.5,185.803,37.4,1027,-1,60814.2,35.114583,-3.59375
Finchaa,577,3,Ethiopia,Africa,SWBD,2,4485,179.62,206.82,4.3499999,650,650,2,3.5999999,17.468,430.7,2224,2.28,1332.8,37.364808,9.557291
George,576,3,Uganda,Africa,SWBD,1,0,260.7,160.52,2.8,908.97,0,3,3.5,39.535,266.1,914,0.62,9630.5,30.161083,-0.068246
Ihema,577,3,Rwanda,Africa,SWBD,1,0,93.56,79.73,2.3299999,775.76,0,3,8.3000002,0.764,11752.2,1286,1.89,255.3,30.826642,-1.814583
Jebel Aulia Reservoir,582,4,Sudan,Africa,GRanD,2,4480,933.5,425.31,3.9300001,3500,3500,2,3.7,1334.54,30.4,380,-1,1667623,32.485405,15.238951
Kabamba,572,2,Democratic Republic of the Congo,Africa,SWBD,1,0,108.91,67.62,1.83,219.75,0,3,2,863.759,2.9,558,0.47,157031.2,26.978859,-7.847136
Kampolombo,571,2,Zambia,Africa,SWBD,1,0,165.24,145.47,3.1900001,365.8,0,3,2.2,14.488,292.2,1164,0.46,1221,29.735359,-11.672281
Kariba Reservoir,565,2,Zambia,Africa,SWBD,2,4056,5276.89,3119.53,12.1099997,185000,185000,2,35.0999985,1315.381,1627.8,487,-1,679343.6,28.760417,-16.522917
Kikuletwa,579,3,United Republic of Tanzania,Africa,SWBD,2,4500,110.07,90.11,2.4200001,1135,1135,2,10.3000002,73.228,179.4,684,1.34,13266.9,37.470367,-3.825186
Kisale,573,2,Democratic Republic of the Congo,Africa,SWBD,1,0,298.23,172.23,2.8099999,780.25,0,3,2.5999999,716.979,12.6,562,0.47,126718,26.55625,-8.25625
Kitangiri,582,4,United Republic of Tanzania,Africa,SWBD,1,0,66.95,89.6,3.0899999,66.95,0,3,1,123.369,6.3,1039,0.28,45378.4,34.369792,-4.0156
Kivu,490,1,Rwanda,Africa,SWBD,1,0,2400.88,1190.34,6.8499999,569000,0,1,237,64.438,102201.3,1461,-1,7421.8,28.892849,-2.48862
Koka,582,4,Ethiopia,Africa,SWBD,2,4488,150.3,102.85,2.3699999,1900,1900,2,12.6000004,73.041,301.1,1590,2.51,11493.9,39.155177,8.469422
Kyoga,577,3,Uganda,Africa,SWBD,1,0,2788.19,1453.33,7.7600002,8364.57,0,1,3,3428.311,28.2,1034,-1,318838,32.349026,1.613382
