Category,ID,Latitude,Longitude,Date,HLS_Tile,ultraBlue,Blue,Green,Red,HLSL30_020_B05,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description",month,Year,dwChroma,dwLehmann,s,sp,brightness
Victoria,0,-0.157092,32.697759,2013-06-13,36MVE,0.0114,0.0214,0.0342,0.0255,0.0225,224,0b11100000,0b11,High aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2013,557.8354371413316,572.60737974022,0.10205403354431773,-6.630773574492527e-4,0.027555096322338147
Victoria,0,-0.157092,32.697759,2013-06-29,36MVE,0.018,0.0235,0.0291,0.0204,0.0168,160,0b10100000,0b10,Moderate aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2013,532.2519126325568,563.1918664455301,0.05752689608794227,-3.733679892565687e-4,0.024598238419312333
Victoria,0,-0.157092,32.697759,2015-06-03,36MVE,0.0109,0.0121,0.0128,0.0037,-3e-4,96,0b01100000,0b01,Low aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2015,496.180452670556,498.9047919875316,0.06997808589835684,NA,0.010391342550411856
Victoria,0,-0.157092,32.697759,2018-06-11,36MVE,0.0127,0.0168,0.0193,0.0111,0.008,96,0b01100000,0b01,Low aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2018,504.8790524356678,544.9445428675332,0.05650916955509418,NA,0.016103208789968952
Victoria,0,-0.157092,32.697759,2022-06-06,36MVE,0.018,0.0235,0.0291,0.0204,0.0168,160,0b10100000,0b10,Moderate aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2022,532.2519126325568,563.1918664455301,0.05752689608794227,-3.733679892565687e-4,0.024598238419312333
Victoria,0,-0.157092,32.697759,2022-06-14,36MVE,0.0198,0.0254,0.0297,0.0202,0.0169,160,0b10100000,0b10,Moderate aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2022,515.0932742191899,557.3505559288006,0.052461120056962796,-3.4038397163502866e-4,0.025398753250241768
Victoria,0,-0.157092,32.697759,2022-06-30,36MVE,0.0206,0.0256,0.0288,0.0202,0.0156,160,0b10100000,0b10,Moderate aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2022,510.2750282961067,554.3527871171526,0.04769992992345862,NA,0.025118651768490017
Victoria,2,-0.308589,32.627643,2013-06-13,36MVE,0.0022,0.0116,0.025,0.016,0.0149,224,0b11100000,0b11,High aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2013,557.355887051853,573.1593205997731,0.15346186507559756,-9.972033252853146e-4,0.018398913011371077
Victoria,2,-0.308589,32.627643,2017-06-24,36MVE,0.0013,0.0103,0.0238,0.0148,0.015,224,0b11100000,0b11,High aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2017,557.3944767826663,573.2909311159814,0.16273305708790992,-0.001057478262920423,0.01723919951737899
Victoria,2,-0.308589,32.627643,2019-06-14,36MVE,0.006,0.0141,0.0249,0.0147,0.0152,224,0b11100000,0b11,High aerosol,0b1,Yes,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used",6,2019,549.9471479609784,569.9400443317043,0.11807947424633262,-7.668225466772539e-4,0.018573368030596928
